id,name,name_en,grade,category,description,ingredient_1_id,ingredient_2_id,tool
41,밥,cooked_rice,F,중간재료,"물과 함께 냄비에 지은 쌀밥. 모든 한식의 기본이 된다.",28,33,냄비
42,밀가루 반죽,flour_dough,F,중간재료,"밀과 물을 섞어 만든 반죽. 어떤 모양으로든 변할 수 있는 가능성을 품고 있다.",29,33,
43,삶은 감자,boiled_potato,F,중간재료,"물에 삶아 포슬포슬해진 감자. 껍질을 벗기면 따끈한 속살이 드러난다.",2,33,냄비
44,구운 감자,baked_potato,F,중간재료,"오븐에 통째로 구워낸 감자. 뜨거우니 호호 불어서 먹자.",2,,오븐
45,찐 고구마,steamed_sweet_potato,F,중간재료,"김이 모락모락 나는 찐 고구마. 달콤한 향기가 코를 찌른다.",30,33,냄비
46,면,noodles,E,중간재료,"밀가루 반죽을 가늘고 길게 뽑아낸 면. 후루룩 넘어가는 식감이 좋다.",42,,
47,빵,bread,E,중간재료,"밀가루 반죽을 오븐에 구워낸 기본 빵. 갓 구운 빵의 향기는 참을 수 없다.",42,,오븐
48,데친 시금치,blanched_spinach,F,중간재료,"끓는 물에 살짝 데쳐낸 시금치. 색이 더 선명해졌다.",12,33,냄비
49,삶은 콩,boiled_bean,F,중간재료,"푹 삶아서 부드러워진 콩. 장(醬)의 기본이 될 준비를 마쳤다.",8,33,냄비
50,아몬드 가루,almond_powder,F,중간재료,"아몬드를 곱게 갈아서 만든 가루. 고소한 디저트를 만들 때 필수.",40,,
51,볶은 양파,sauteed_onion,F,중간재료,"후라이팬에 볶아 단맛을 낸 양파. 투명해질 때까지 볶는 것이 포인트.",4,,후라이팬
52,볶은 마늘,sauteed_garlic,F,중간재료,"기름에 볶아 향을 낸 마늘. 알싸한 향이 식욕을 돋운다.",14,,후라이팬
53,볶은 버섯,sauteed_mushroom,F,중간재료,"버섯을 후라이팬에 볶아 감칠맛을 더했다. 쫄깃한 식감이 살아있다.",3,,후라이팬
54,볶은 당근,sauteed_carrot,F,중간재료,"살짝 볶아 더 달콤해진 당근. 주황빛이 더욱 먹음직스러워 보인다.",9,,후라이팬
55,파기름,green_onion_oil,F,중간재료,"파를 볶아 향긋한 기름을 만들었다. 요리의 풍미를 한 단계 올려준다.",13,,후라이팬
56,다진 소고기,ground_beef,F,중간재료,"각종 요리에 사용하기 좋게 소고기를 다졌다. 그냥 볶아 먹어도 맛있다.",16,,
57,다진 돼지고기,ground_pork,F,중간재료,"돼지고기를 잘게 다져 부드러운 식감을 냈다. 어떤 요리와도 잘 어울린다.",17,,
58,닭고기 육수,chicken_stock,F,육수,"닭고기를 푹 끓여 만든 맑은 육수. 마음까지 따뜻해지는 맛.",18,33,냄비
59,소고기 육수,beef_stock,F,육수,"소고기를 끓여 만든 진한 육수. 깊은 맛이 일품이다.",16,33,냄비
60,야채 육수,vegetable_stock,F,육수,"갖은 야채를 끓여 만든 깔끔한 육수. 채소들의 기운이 듬뿍 담겨있다.",4,9,냄비
61,해물 육수,seafood_stock,F,육수,"조개를 끓여 만든 시원한 육수. 바다의 향기가 물씬 풍긴다.",24,33,냄비
62,구운 소고기,grilled_beef,F,고기,"후라이팬에 간단히 구운 소고기. 치이익 소리가 입맛을 돋운다.",16,,후라이팬
63,구운 돼지고기,grilled_pork,F,고기,"먹음직스럽게 후라이팬에 구운 돼지고기. 노릇노릇하게 구워졌다.",17,,후라이팬
64,구운 닭고기,grilled_chicken,F,고기,"오븐에 구워 기름기를 뺀 닭고기. 겉은 바삭, 속은 촉촉.",18,,오븐
65,구운 연어,grilled_salmon,F,생선,"오븐에 구워 담백한 연어구이. 분홍빛 속살이 부드럽다.",20,,오븐
66,데친 오징어,blanched_squid,F,해산물,"끓는 물에 살짝 데쳐 부드러운 오징어. 하얀 꽃이 핀 것 같다.",23,33,냄비
67,데친 새우,blanched_shrimp,F,해산물,"색이 예쁘게 변할 때까지 데친 새우. 붉은 빛깔이 먹음직스럽다.",22,33,냄비
68,삶은 계란,boiled_egg,F,중간재료,"냄비에서 완숙으로 삶아낸 계란. 껍질을 까는 재미가 쏠쏠하다.",31,33,냄비
69,계란 후라이,fried_egg,F,중간재료,"반숙으로 잘 부쳐낸 계란 후라이. 노른자를 톡 터뜨리고 싶다.",31,,후라이팬
70,계란 지단,egg_garnish,E,중간재료,"계란 후라이를 얇게 채썰어 고명으로 만들었다. 요리를 화려하게 장식해준다.",69,,
71,볶은 토마토,sauteed_tomato,F,중간재료,"토마토를 볶아 산미를 날리고 단맛을 살렸다. 과일에서 요리로 변신!",1,,후라이팬
72,토마토 퓨레,tomato_puree,E,소스,"볶은 토마토를 끓여 걸쭉하게 만들었다. 서양 요리의 기초가 된다.",71,33,냄비
